id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
37970797,Gemütliche 2 Zimmerwohnung Nähe Oktoberfest,287867664,Michele,,Maxvorstadt,48.14293,11.54039,Entire home/apt,499,1,4,2019-10-06,0.11,1,182,0,
37978289,"15 min in die City: 4 Personen, ganze Wohnung",13382100,Michaela,,Schwabing-West,48.16313,11.56538,Entire home/apt,300,3,14,2022-08-22,0.39,1,134,12,
37982070,Mein Zimmer liegt sehr zentral,157675666,Hannelore,,Schwabing-West,48.15501,11.57724,Private room,800,1,0,,,1,179,0,
37983783,Schönes Zimmer nähe BMW,286887215,Lulit,,Milbertshofen-Am Hart,48.18605,11.57226,Private room,35,1,6,2021-08-28,0.16,2,0,0,
38008119,Cosy city center apartment - 15 from Oktoberfest,9968016,Peter,,Neuhausen-Nymphenburg,48.1492,11.53986,Entire home/apt,350,3,0,,,1,362,0,
38011460,Beautiful Penthouse Apartment in Central Munich,52800186,Stella,,Maxvorstadt,48.15056,11.56411,Entire home/apt,330,2,7,2022-08-28,0.26,1,2,3,
38013052,White-grey-Green House,54046690,Serena,,Sendling-Westpark,48.11571,11.52992,Entire home/apt,93,2,52,2022-09-18,1.39,1,56,34,
38019630,Biete Schlafgelegenheit im Herzen von München,224987070,Melissa,,Sendling,48.12243,11.54422,Private room,37,1,13,2020-07-12,0.36,1,0,0,
38030579,Calm apartment in the city - Rosenheimer platz,37760488,Mia,,Au-Haidhausen,48.12936,11.59412,Entire home/apt,65,2,9,2020-10-02,0.24,1,0,0,
38034468,Arty City Center- 12 min. to Oktoberfest,288597463,Paulina,,Schwabing-Freimann,48.17025,11.5939,Private room,148,2,2,2022-09-19,0.06,1,5,1,
38037200,Modernes Zimmer direkt am Hirschgarten,78630815,Marion,,Neuhausen-Nymphenburg,48.14803,11.51461,Private room,80,10,0,,,1,78,0,
38042181,Beautiful apartment  at Königsplatz,67959205,Michael,,Maxvorstadt,48.14871,11.55865,Entire home/apt,250,2,1,2022-09-12,1,1,0,1,
38055676,"Munich City, Cozy room, Close to Everything, Wifi.",85623117,Brayan,,Sendling,48.11986,11.54829,Private room,139,1,1,2019-09-29,0.03,1,7,0,
38062096,1 Zimmer Appartement,251686724,Vedran,,Neuhausen-Nymphenburg,48.16119,11.5391,Entire home/apt,200,1,15,2021-07-26,0.41,1,49,0,
38062749,Room within spacious apartment (during the week),6533447,Robert,,Schwabing-West,48.16143,11.5766,Entire home/apt,100,2,10,2022-06-12,0.30,1,111,5,
38063140,Bright & Cozy • Two-Room Loft Apartment,3193107,Benni,,Untergiesing-Harlaching,48.12056,11.57027,Entire home/apt,169,2,55,2022-09-04,1.52,1,89,20,
38066810,Oktoberfest-Wohnung für Bedienungen gesamte Zeit,3581979,Reinhard,,Schwanthalerhöhe,48.13615,11.52734,Entire home/apt,100,14,4,2019-10-07,0.11,1,2,0,
38083239,Toplevel-Room: Gemütlich & modern,25556273,Julian,,Milbertshofen-Am Hart,48.18294,11.56881,Private room,42,13,10,2022-07-26,0.28,1,209,6,
38096787,Studio apartment in the city center on Isar river,289171641,Jana,,Untergiesing-Harlaching,48.10864,11.57212,Entire home/apt,90,1,1,2019-09-27,0.03,1,0,0,
38100507,Wohnen wie im Schloss,5490245,Anne,,Pasing-Obermenzing,48.13839,11.44354,Private room,58,1,60,2022-09-20,1.69,2,56,45,
38111820,"Cosy Room close to centre, Oktoberfest & Isar.",94681473,Lisa,,Untergiesing-Harlaching,48.11477,11.56701,Private room,109,2,5,2022-08-25,0.14,1,33,3,
38112149,Family Home with Balcony near BMW & Olympia Park,52981690,Lisa,,Milbertshofen-Am Hart,48.18558,11.56405,Entire home/apt,346,2,13,2022-08-15,0.36,4,4,2,
38112537,Cozy and modern 2 room flat next to Oktoberfest,80677224,Annabelle,,Schwanthalerhöhe,48.13606,11.54448,Entire home/apt,300,3,5,2021-10-19,0.14,1,2,1,
38118549,Perfect place to stay for the Octoberfest,289351888,Alexander,,Schwabing-West,48.15961098606122,11.568071148242497,Private room,242,1,10,2022-09-18,0.27,3,29,3,
38127695,Bright and spacious room 10 minutes to Oktoberfest,289552287,Philipp,,Ludwigsvorstadt-Isarvorstadt,48.12775,11.56047,Private room,165,2,2,2019-10-06,0.05,1,54,0,
38143219,"SMALL, BUT COZY AND CHARMING APARTMENT",289460302,Kira,,Milbertshofen-Am Hart,48.18529,11.56096,Entire home/apt,60,2,4,2020-01-03,0.11,1,0,0,
38143811,New Munich Style Apartment • Lorena <3,227589395,Johanna,,Feldmoching-Hasenbergl,48.19085,11.54804,Entire home/apt,544,3,60,2022-09-04,1.62,5,157,30,
38148619,Loft directly next to Oktoberfest and downtown,267567198,Michael,,Schwanthalerhöhe,48.14058,11.53154,Entire home/apt,907,2,96,2022-09-09,2.66,2,283,38,
38168291,STUDIO APARTMENT NEAR THE ENGLISH GARDEN,290013604,Florian,,Schwabing-West,48.16123,11.57845,Entire home/apt,108,2,0,,,1,0,0,
38176781,60 sqm apartment at the Munich Ostbahnhof,290025156,Roya,,Berg am Laim,48.12618,11.61313,Entire home/apt,220,1,1,2019-10-06,0.03,1,20,0,
38177601,Green Designer Apartment with 2 balconies,21093076,Joern,,Schwabing-Freimann,48.17218,11.58295,Entire home/apt,235,1,31,2022-09-20,0.84,4,7,13,
38177631,Luxury Apartment (perfect for fairs) with view,290090743,George,,Bogenhausen,48.16905,11.64531,Entire home/apt,650,1,9,2022-09-19,0.25,1,287,3,
38180185,Cosy apartment near Oktoberfest,75688975,Peder,,Neuhausen-Nymphenburg,48.15017,11.54219,Entire home/apt,286,3,2,2022-09-20,0.06,1,1,1,
38181220,"Beautiful,modern Accommodation(near Oktoberfest!)",229075693,Jan,,Sendling,48.11266,11.55026,Entire home/apt,400,2,2,2019-09-23,0.05,1,83,0,
38184024,"Central, clean Apartment, close to Underground",10276136,Carl,,Schwabing-Freimann,48.16755,11.58717,Entire home/apt,300,2,0,,,1,87,0,
38198296,Wunderschöne zentrale Altbauwohnung,47570328,Adriana,,Ludwigsvorstadt-Isarvorstadt,48.13047,11.55823,Entire home/apt,234,2,11,2022-08-09,0.31,2,0,9,
38199689,Elizabeth's apartment very close to the center,290264072,Elizabeth,,Ludwigsvorstadt-Isarvorstadt,48.12756,11.57191,Entire home/apt,124,3,33,2022-09-12,0.90,1,5,14,
38199867,Wohlfühloase im Herzen von München,134103462,Irina,,Tudering-Riem,48.1105,11.71198,Entire home/apt,102,2,30,2022-08-21,0.93,1,64,24,
38202218,Schöne elegante Wohnung mit Balkon und Tiefgarage,290277636,Ersan,,Ramersdorf-Perlach,48.10228,11.65434,Entire home/apt,219,2,31,2022-07-27,0.85,1,2,12,
38203762,Zimmer zur Wiesn zur vermieten,290289317,Bernd,,Milbertshofen-Am Hart,48.2049,11.57188,Private room,99,1,0,,,1,358,0,
38215147,Cozy room with Netflix n Balcony,10626567,Mudit,,Milbertshofen-Am Hart,48.20202,11.5647,Entire home/apt,89,4,4,2022-06-25,0.11,1,0,1,
38223082,Oktoberfest Munich 2 min walk,145224880,Sarah,,Schwanthalerhöhe,48.13714,11.54729,Entire home/apt,160,3,0,,,1,134,0,
